database_vs_csv_comparison
Plant ID,Common Name (DB),Common Name (CSV),Match,Scientific Name (DB),Scientific Name (CSV),Match,Arabic Name (DB),Arabic Name (CSV),Match,Difficulty (DB),Difficulty (CSV),Match,Type (DB),Type (CSV),Match,Pet Safe (DB),Pet Safe (CSV),Match,Has Image (DB),Has Image (CSV),Match,Overall Status
senecio_barbertonicus,Senecio barbertonicus,Senecio barbertonicus,✓,Himalaya,Himalaya,✓,سينيسيو بارباتونيكوس,سينيسيو بارباتونيكوس,✓,beginner,beginner,✓,succulent,succulent,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
silver_queen,Silver Queen,Silver Queen,✓,Aglaonema 'Silver Queen',Aglaonema 'Silver Queen',✓,أجلونيما الملكة الفضية,أجلونيما الملكة الفضية,✓,beginner,beginner,✓,foliage,foliage,✓,no,no,✓,✓,✓,✓,✓ PERFECT
silver_ruffles_succulent,Silver Ruffles Succulent,Silver Ruffles Succulent,✓,Cotyledon undulata,Cotyledon undulata,✓,كوتيليدون المتموج,كوتيليدون المتموج,✓,beginner,beginner,✓,succulent,succulent,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
snake_plant_golden_flame,Snake Plant Golden Flame,Snake Plant Golden Flame,✓,Sansevieria trifasciata 'Golden Flame',Sansevieria trifasciata 'Golden Flame',✓,سيف سنسفيريا اللهب الذهبي,سيف سنسفيريا اللهب الذهبي,✓,beginner,beginner,✓,succulent,succulent,✓,no,no,✓,✓,✓,✓,✓ PERFECT
snake_plant_laurentii,Snake Plant Laurentii,Snake Plant Laurentii,✓,Sansevieria trifasciata 'Laurentii',Sansevieria trifasciata 'Laurentii',✓,سانسيفيريا لورانتي,سانسيفيريا لورانتي,✓,beginner,beginner,✓,succulent,succulent,✓,no,no,✓,✓,✓,✓,✓ PERFECT
snake_plant_moonshine,Snake Plant Moonshine,Snake Plant Moonshine,✓,Sansevieria trifasciata 'Moonshine',Sansevieria trifasciata 'Moonshine',✓,سانسيفيريا ضوء القمر,سانسيفيريا ضوء القمر,✓,beginner,beginner,✓,succulent,succulent,✓,no,no,✓,✓,✓,✓,✓ PERFECT
snake_plant_zeylanica,Snake Plant Zeylanica,Snake Plant Zeylanica,✓,Sansevieria zeylanica,Sansevieria zeylanica,✓,سانسيفيريا زيلانيكا,سانسيفيريا زيلانيكا,✓,beginner,beginner,✓,succulent,succulent,✓,no,no,✓,✓,✓,✓,✓ PERFECT
soft_blush_philodendron,Soft Blush Philodendron,Soft Blush Philodendron,✓,Philodendron 'Soft Blush',Philodendron 'Soft Blush',✓,فيلودندرون الخوخ الناعم,فيلودندرون الخوخ الناعم,✓,beginner,beginner,✓,tropical,tropical,✓,no,no,✓,✓,✓,✓,✓ PERFECT
soft_spears,Soft Spears,Soft Spears,✓,Sansevieria cylindrica,Sansevieria cylindrica,✓,سانسيفيريا الأسطوانية,سانسيفيريا الأسطوانية,✓,beginner,beginner,✓,succulent,succulent,✓,no,no,✓,✓,✓,✓,✓ PERFECT
song_of_india,Song of India,Song of India,✓,Dracaena reflexa,Dracaena reflexa,✓,أغنية الهند,أغنية الهند,✓,beginner,beginner,✓,tropical,tropical,✓,no,no,✓,✓,✓,✓,✓ PERFECT
spider_plant,Spider Plant,Spider Plant,✓,Chlorophytum comosum,Chlorophytum comosum,✓,نبات العنكبوت,نبات العنكبوت,✓,beginner,beginner,✓,foliage,foliage,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
stapelia,Stapelia,Stapelia,✓,Starfish Flower,Starfish Flower,✓,ستابيليا,ستابيليا,✓,beginner,beginner,✓,succulent,succulent,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
stenocereus_griseus_cactus_large,Stenocereus Griseus Cactus Large,Stenocereus Griseus Cactus Large,✓,Stenocereus griseus,Stenocereus griseus,✓,صبار ستينوسيريوس الرمادي,صبار ستينوسيريوس الرمادي,✓,beginner,beginner,✓,succulent,succulent,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
string_of_bananas,String of Bananas,String of Bananas,✓,Senecio radicans,Senecio radicans,✓,سلسلة الموز,سلسلة الموز,✓,beginner,beginner,✓,succulent,succulent,✓,no,no,✓,✓,✓,✓,✓ PERFECT
string_of_hearts,String of Hearts,String of Hearts,✓,Ceropegia woodii,Ceropegia woodii,✓,سلسلة القلوب,سلسلة القلوب,✓,beginner,beginner,✓,succulent,succulent,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
string_of_pearls,String of Pearls,String of Pearls,✓,Senecio rowleyanus,Senecio rowleyanus,✓,سلسلة اللؤلؤ,سلسلة اللؤلؤ,✓,intermediate,intermediate,✓,succulent,succulent,✓,no,no,✓,✓,✓,✓,✓ PERFECT
sunshine_fig,Sunshine Fig,Sunshine Fig,✓,Ficus benjamina 'Starlight',Ficus benjamina 'Starlight',✓,فيكس الشمس المشرقة,فيكس الشمس المشرقة,✓,intermediate,intermediate,✓,tropical,tropical,✓,no,no,✓,✓,✓,✓,✓ PERFECT
sunstriped_agave,Sun-Striped Agave,Sun-Striped Agave,✓,Agave desmettiana 'Variegata',Agave desmettiana 'Variegata',✓,صبار الأغاف المخطط,صبار الأغاف المخطط,✓,beginner,beginner,✓,succulent,succulent,✓,no,no,✓,✓,✓,✓,✓ PERFECT
sword_fern,Sword Fern,Sword Fern,✓,Nephrolepis exaltata,Nephrolepis exaltata,✓,سرخس السيف,سرخس السيف,✓,intermediate,intermediate,✓,fern,fern,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
syngonium_confetti,Syngonium Confetti,Syngonium Confetti,✓,Syngonium podophyllum 'Confetti',Syngonium podophyllum 'Confetti',✓,سينجونيوم كونفيتي,سينجونيوم كونفيتي,✓,beginner,beginner,✓,vine,vine,✓,no,no,✓,✓,✓,✓,✓ PERFECT
syngonium_mix,Syngonium Mix,Syngonium Mix,✓,Syngonium podophyllum,Syngonium podophyllum,✓,سينجونيوم متنوع,سينجونيوم متنوع,✓,beginner,beginner,✓,vine,vine,✓,no,no,✓,✓,✓,✓,✓ PERFECT
syngonium_yellow,Syngonium Yellow,Syngonium Yellow,✓,Syngonium podophyllum 'Neon Robusta',Syngonium podophyllum 'Neon Robusta',✓,سينجونيوم أصفر,سينجونيوم أصفر,✓,beginner,beginner,✓,vine,vine,✓,no,no,✓,✓,✓,✓,✓ PERFECT
tigers_jaw,Tiger's Jaw,Tiger's Jaw,✓,Faucaria tigrina,Faucaria tigrina,✓,فك النمر,فك النمر,✓,beginner,beginner,✓,succulent,succulent,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
tradescantia,Tradescantia,Tradescantia,✓,Wandering Dude,Wandering Dude,✓,تراديسكانتيا,تراديسكانتيا,✓,beginner,beginner,✓,vine,vine,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
velvet_calathea,Velvet Calathea,Velvet Calathea,✓,Calathea warscewiczii,Calathea warscewiczii,✓,كلاثيا المخملية,كلاثيا المخملية,✓,advanced,advanced,✓,tropical,tropical,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
venus_flytrap,Venus Flytrap,Venus Flytrap,✓,Dionaea muscipula,Dionaea muscipula,✓,مصيدة ذبابة الزهرة,مصيدة ذبابة الزهرة,✓,advanced,advanced,✓,carnivorous,carnivorous,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
watermelon_pellionia,Watermelon Pellionia,Watermelon Pellionia,✓,Pellionia repens,Pellionia repens,✓,بيليونيا البطيخ,بيليونيا البطيخ,✓,intermediate,intermediate,✓,foliage,foliage,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
white_flamingo_flower,White Flamingo Flower,White Flamingo Flower,✓,Anthurium andraeanum 'White',Anthurium andraeanum 'White',✓,أنثوريوم أبيض,أنثوريوم أبيض,✓,intermediate,intermediate,✓,flowering,flowering,✓,no,no,✓,✓,✓,✓,✓ PERFECT
white_nerve,White Nerve,White Nerve,✓,Fittonia albivenis 'White',Fittonia albivenis 'White',✓,فيتونيا بيضاء,فيتونيا بيضاء,✓,intermediate,intermediate,✓,foliage,foliage,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
white_pothos,White Pothos,White Pothos,✓,Epipremnum,Epipremnum,✓,البوتس الأبيض,البوتس الأبيض,✓,beginner,beginner,✓,vine,vine,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
yucca_ananas,Yucca Ananas,Yucca Ananas,✓,Pineapple Yucca,Pineapple Yucca,✓,يوكا الأناناس,يوكا الأناناس,✓,intermediate,intermediate,✓,foliage,foliage,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
yucca_elephantipes,Yucca Elephantipes,Yucca Elephantipes,✓,Spineless Yucca,Spineless Yucca,✓,يوكا إليفانتيبس,يوكا إليفانتيبس,✓,intermediate,intermediate,✓,foliage,foliage,✓,yes,yes,✓,✓,✓,✓,✓ PERFECT
zz_plant,ZZ Plant,ZZ Plant,✓,Zamioculcas zamiifolia,Zamioculcas zamiifolia,✓,نبات زي زي,نبات زي زي,✓,beginner,beginner,✓,tropical,tropical,✓,no,no,✓,✓,✓,✓,✓ PERFECT
